VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,CD1,99.0,CD1 - C1 - C4 - C15 - C21 - C7 - C19 - C3 - CD1,7,13 - 15 - 17 - 14 - 17 - 11 - 12,82.68079999999999,198.43391999999997,434074.19999999995
V2,CD1,138.0,CD1 - C17 - C24 - C10 - C16 - C11 - C9 - C8 - C5 - CD1,8,25 - 11 - 15 - 10 - 17 - 20 - 20 - 20,92.13940000000001,221.13456000000002,483731.85
V3,CD1,113.0,CD1 - C23 - C14 - C22 - C13 - C6 - C18 - C2 - CD1,7,15 - 15 - 18 - 21 - 17 - 12 - 15,72.5339,174.08136000000002,380802.975
V4,CD1,27.0,CD1 - C20 - C12 - CD1,2,15 - 12,32.9386,79.05264,172927.65
