VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,CD1,124.0,CD1 - C17 - C24 - C15 - C4 - C1 - C16 - C10 - C22 - CD1,8,25 - 11 - 17 - 15 - 13 - 10 - 15 - 18,62.850300000000004,150.84072,329964.075
V2,CD1,15.0,CD1 - C2 - CD1,1,15,18.2222,43.73328,95666.55
V3,CD1,12.0,CD1 - C3 - CD1,1,12,13.652700000000001,32.76648,71676.675
V4,CD1,127.0,CD1 - C13 - C11 - C9 - C5 - C8 - C6 - C18 - CD1,7,21 - 17 - 20 - 20 - 20 - 17 - 12,63.208200000000005,151.69968,331843.05
V5,CD1,15.0,CD1 - C14 - CD1,1,15,11.1015,26.6436,58282.87499999999
V6,CD1,54.0,CD1 - C12 - C21 - C7 - C19 - CD1,4,12 - 14 - 17 - 11,43.678399999999996,104.82815999999998,229311.59999999998
V7,CD1,15.0,CD1 - C20 - CD1,1,15,13.0423,31.301519999999996,68472.075
V8,CD1,15.0,CD1 - C23 - CD1,1,15,12.1251,29.10024,63656.775
