VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,CD9,22.0,CD9 - C8 - C7 - CD4,2,10 - 12,21.7462,52.19088000000001,114167.55
V2,CD5,29.0,CD5 - C1 - C4 - C6 - CD6,3,12 - 6 - 11,21.49,51.57599999999999,112822.49999999999
V3,CD9,5.0,CD9 - C5 - CD8,1,5,8.1285,19.5084,42674.62500000001
V4,CD9,15.0,CD9 - C3 - CD9,1,15,1.2319,2.95656,6467.474999999999
V5,CD5,15.0,CD5 - C2 - CD5,1,15,2.9701,7.12824,15593.024999999998
V6,CD11,15.0,CD11 - C9 - CD7,1,15,2.3673,5.681520000000001,12428.325
